service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
NC2210-COASTER-Weekday-01,1,1,1,1,1,0,0,20221121,20230331
NC2210-COASTER-Weekday-01--0000100,0,0,0,0,1,0,0,20221121,20230331
NC2210-COASTER-Sunday-01,0,0,0,0,0,0,1,20221124,20230326
NC2210-COASTER-Saturday-01,0,0,0,0,0,1,0,20221126,20230401
NC2210-COASTER-Saturday-02,0,0,0,0,0,1,0,20221231,20221231
NC2210-FLEX-Weekday-01,1,1,1,1,1,0,0,20221121,20230331
NC2210-FLEX-Sunday-01,0,0,0,0,0,0,1,20221124,20230326
NC2210-FLEX-Saturday-01,0,0,0,0,0,1,0,20221126,20230401
NC2210-FLEX-Holiday1-02,1,1,1,1,1,1,1,20221226,20230102
NC2210-RMKBLK-Weekday-03,1,1,1,1,1,0,0,20221121,20230331
NC2210-RMKBLK-Weekday-03-SCHon-0010000,0,0,1,0,0,0,0,20221121,20230331
NC2210-RMKBLK-Weekday-03-SCHon-1011100,1,0,1,1,1,0,0,20221121,20230331
NC2210-RMKBLK-Weekday-03-SCHon-1101100,1,1,0,1,1,0,0,20221121,20230331
NC2210-RMKBLK-Weekday-03-SCHon-0100000,0,1,0,0,0,0,0,20221121,20230331
NC2210-RMKBLK-Weekday-03-SCHon-1000000,1,0,0,0,0,0,0,20221121,20230331
NC2210-RMKBLK-Weekday-03-SCHon-0111100,0,1,1,1,1,0,0,20221121,20230331
NC2210-RMKBLK-Weekday-03-SCHon-0001000,0,0,0,1,0,0,0,20221121,20230331
NC2210-RMKBLK-Weekday-03-SCHon-1110100,1,1,1,0,1,0,0,20221121,20230331
NC2210-RMKBLK-Weekday-03-SCHon,1,1,1,1,1,0,0,20221121,20230331
NC2210-RMKBLK-Sunday-01,0,0,0,0,0,0,1,20221124,20230326
NC2210-RMKBLK-Saturday-01,0,0,0,0,0,1,0,20221126,20230401
NC2210-RMKBLK-Holiday1-02,1,1,1,1,1,1,1,20221226,20230102
NC2210-399-Weekday-03,1,1,1,1,1,0,0,20221121,20230331
NC2210-399-Weekday-03--0000100,0,0,0,0,1,0,0,20221121,20230331
NC2210-399-Sunday-01,0,0,0,0,0,0,1,20221124,20230326
NC2210-399-Saturday-01,0,0,0,0,0,1,0,20221126,20230401
NC2210-399-Saturday-02,0,0,0,0,0,1,0,20221231,20221231
