service_id,date,exception_type
NC2210-COASTER-Weekday-01,20221124,2
NC2210-COASTER-Weekday-01--0000100,20221124,2
NC2210-COASTER-Sunday-01,20221124,1
NC2210-COASTER-Saturday-01,20221231,2
NC2210-FLEX-Weekday-01,20221124,2
NC2210-FLEX-Weekday-01,20221226,2
NC2210-FLEX-Weekday-01,20230102,2
NC2210-FLEX-Sunday-01,20221124,1
NC2210-FLEX-Holiday1-02,20221227,2
NC2210-FLEX-Holiday1-02,20221228,2
NC2210-FLEX-Holiday1-02,20221229,2
NC2210-FLEX-Holiday1-02,20221230,2
NC2210-FLEX-Holiday1-02,20221231,2
NC2210-FLEX-Holiday1-02,20230101,2
NC2210-RMKBLK-Weekday-03,20221124,2
NC2210-RMKBLK-Weekday-03-SCHon,20221124,2
NC2210-RMKBLK-Weekday-03-SCHon-0010000,20221124,2
NC2210-RMKBLK-Weekday-03-SCHon-1011100,20221124,2
NC2210-RMKBLK-Weekday-03-SCHon-1101100,20221124,2
NC2210-RMKBLK-Weekday-03-SCHon-0100000,20221124,2
NC2210-RMKBLK-Weekday-03-SCHon-1000000,20221124,2
NC2210-RMKBLK-Weekday-03-SCHon-0111100,20221124,2
NC2210-RMKBLK-Weekday-03-SCHon-0001000,20221124,2
NC2210-RMKBLK-Weekday-03-SCHon-1110100,20221124,2
NC2210-RMKBLK-Weekday-03,20221226,2
NC2210-RMKBLK-Weekday-03-SCHon,20221226,2
NC2210-RMKBLK-Weekday-03-SCHon-0010000,20221226,2
NC2210-RMKBLK-Weekday-03-SCHon-1011100,20221226,2
NC2210-RMKBLK-Weekday-03-SCHon-1101100,20221226,2
NC2210-RMKBLK-Weekday-03-SCHon-0100000,20221226,2
NC2210-RMKBLK-Weekday-03-SCHon-1000000,20221226,2
NC2210-RMKBLK-Weekday-03-SCHon-0111100,20221226,2
NC2210-RMKBLK-Weekday-03-SCHon-0001000,20221226,2
NC2210-RMKBLK-Weekday-03-SCHon-1110100,20221226,2
NC2210-RMKBLK-Weekday-03,20230102,2
NC2210-RMKBLK-Weekday-03-SCHon,20230102,2
NC2210-RMKBLK-Weekday-03-SCHon-0010000,20230102,2
NC2210-RMKBLK-Weekday-03-SCHon-1011100,20230102,2
NC2210-RMKBLK-Weekday-03-SCHon-1101100,20230102,2
NC2210-RMKBLK-Weekday-03-SCHon-0100000,20230102,2
NC2210-RMKBLK-Weekday-03-SCHon-1000000,20230102,2
NC2210-RMKBLK-Weekday-03-SCHon-0111100,20230102,2
NC2210-RMKBLK-Weekday-03-SCHon-0001000,20230102,2
NC2210-RMKBLK-Weekday-03-SCHon-1110100,20230102,2
NC2210-RMKBLK-Weekday-03-SCHon,20221121,2
NC2210-RMKBLK-Weekday-03-SCHon-0010000,20221121,2
NC2210-RMKBLK-Weekday-03-SCHon-1011100,20221121,2
NC2210-RMKBLK-Weekday-03-SCHon-1101100,20221121,2
NC2210-RMKBLK-Weekday-03-SCHon-0100000,20221121,2
NC2210-RMKBLK-Weekday-03-SCHon-1000000,20221121,2
NC2210-RMKBLK-Weekday-03-SCHon-0111100,20221121,2
NC2210-RMKBLK-Weekday-03-SCHon-0001000,20221121,2
NC2210-RMKBLK-Weekday-03-SCHon-1110100,20221121,2
NC2210-RMKBLK-Weekday-03-SCHon,20221122,2
NC2210-RMKBLK-Weekday-03-SCHon-0010000,20221122,2
NC2210-RMKBLK-Weekday-03-SCHon-1011100,20221122,2
NC2210-RMKBLK-Weekday-03-SCHon-1101100,20221122,2
NC2210-RMKBLK-Weekday-03-SCHon-0100000,20221122,2
NC2210-RMKBLK-Weekday-03-SCHon-1000000,20221122,2
