shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
3010108,33.193494,-117.379696,10001,0.000
3010108,33.194164,-117.380275,10002,0.057
3010108,33.194329,-117.380003,10003,0.077
3010108,33.194566,-117.379604,10004,0.105
3010108,33.194809,-117.379195,10005,0.134
3010108,33.195044,-117.378805,10006,0.162
3010108,33.194195,-117.378092,10007,0.233
3010108,33.193925,-117.377863,10008,0.256
3010108,33.193802,-117.377759,10009,0.266
3010108,33.193802,-117.377759,20001,0.266
3010108,33.192851,-117.376960,20002,0.347
3010108,33.191776,-117.376053,20003,0.438
3010108,33.190693,-117.375141,20004,0.529
3010108,33.190590,-117.375054,20005,0.538
3010108,33.190590,-117.375054,30001,0.538
3010108,33.189624,-117.374241,30002,0.619
3010108,33.188541,-117.373335,30003,0.710
3010108,33.188434,-117.373254,30004,0.719
3010108,33.188434,-117.373254,40001,0.719
3010108,33.187924,-117.372866,40002,0.761
3010108,33.187752,-117.372723,40003,0.775
3010108,33.187520,-117.372534,40004,0.795
3010108,33.187487,-117.372507,40005,0.797
3010108,33.187329,-117.372374,40006,0.811
3010108,33.186715,-117.371867,40007,0.862
3010108,33.186601,-117.371769,40008,0.872
3010108,33.186601,-117.371769,50001,0.872
3010108,33.186268,-117.371485,50002,0.900
3010108,33.185968,-117.371233,50003,0.926
3010108,33.185191,-117.370579,50004,0.991
3010108,33.183587,-117.369238,50005,1.126
3010108,33.183422,-117.369095,50006,1.140
3010108,33.183422,-117.369095,60001,1.140
3010108,33.182823,-117.368574,60002,1.192
3010108,33.182029,-117.367904,60003,1.259
3010108,33.181936,-117.367827,60004,1.266
3010108,33.181216,-117.367237,60005,1.327
3010108,33.181186,-117.367210,60006,1.329
3010108,33.180894,-117.366964,60007,1.354
3010108,33.180616,-117.366732,60008,1.377
3010108,33.180280,-117.366453,60009,1.406
3010108,33.179945,-117.366174,60010,1.434
3010108,33.179828,-117.366072,60011,1.444
3010108,33.179612,-117.365886,60012,1.462
3010108,33.179462,-117.365756,60013,1.475
3010108,33.179345,-117.365654,60014,1.485
3010108,33.179004,-117.365355,60015,1.514
3010108,33.178571,-117.365001,60016,1.550
3010108,33.178571,-117.365001,70001,1.550
3010108,33.178363,-117.364831,70002,1.568
3010108,33.176948,-117.363641,70003,1.687
3010108,33.176948,-117.363641,80001,1.687
3010108,33.176863,-117.363569,80002,1.694
3010108,33.175229,-117.362192,80003,1.832
3010108,33.174899,-117.361914,80004,1.860
3010108,33.174899,-117.361914,90001,1.860
3010108,33.173728,-117.360925,90002,1.959
3010108,33.172248,-117.359677,90003,2.084
3010108,33.172248,-117.359677,100001,2.084
3010108,33.172091,-117.359545,100002,2.097
3010108,33.170588,-117.358277,100003,2.224
3010108,33.169835,-117.357647,100004,2.288
3010108,33.169694,-117.357530,100005,2.300
3010108,33.169312,-117.357212,100006,2.332
3010108,33.169036,-117.356980,100007,2.355
3010108,33.168837,-117.356814,100008,2.372
3010108,33.166614,-117.354942,100009,2.560
3010108,33.166570,-117.354913,100010,2.563
3010108,33.166195,-117.354673,100011,2.592
3010108,33.165785,-117.354488,100012,2.623
3010108,33.165313,-117.354364,100013,2.656
3010108,33.164890,-117.354326,100014,2.685
3010108,33.164629,-117.354333,100015,2.703
3010108,33.164233,-117.354363,100016,2.731
3010108,33.163694,-117.354399,100017,2.768
3010108,33.163567,-117.354420,100018,2.777
3010108,33.163141,-117.354409,100019,2.806
3010108,33.162680,-117.354321,100020,2.838
3010108,33.162261,-117.354169,100021,2.868
3010108,33.161862,-117.353951,100022,2.899
3010108,33.161832,-117.353931,100023,2.901
3010108,33.161696,-117.353832,100024,2.912
3010108,33.161696,-117.353832,110001,2.912
3010108,33.161619,-117.353775,110002,2.918
3010108,33.161079,-117.353330,110003,2.963
3010108,33.159993,-117.352441,110004,3.054
3010108,33.159346,-117.351907,110005,3.109
3010108,33.160108,-117.350593,110006,3.201
3010108,33.160760,-117.351121,110007,3.255
3010108,33.161036,-117.351348,110008,3.279
3010108,33.161036,-117.351348,120001,3.279
3010108,33.161576,-117.351794,120002,3.324
3010108,33.161788,-117.352097,120003,3.347
3010108,33.161079,-117.353330,120004,3.433
3010108,33.159993,-117.352441,120005,3.524
3010108,33.159346,-117.351907,120006,3.578
3010108,33.158233,-117.351001,120007,3.671
3010108,33.157968,-117.350831,120008,3.692
3010108,33.157680,-117.350716,120009,3.713
3010108,33.157353,-117.350663,120010,3.736
3010108,33.157216,-117.350664,120011,3.745
3010108,33.156800,-117.350718,120012,3.774
3010108,33.155900,-117.350823,120013,3.836
3010108,33.155900,-117.350823,130001,3.836
3010108,33.155683,-117.350848,130002,3.851
3010108,33.155285,-117.350820,130003,3.879
3010108,33.155164,-117.350795,130004,3.887
3010108,33.154800,-117.350686,130005,3.913
3010108,33.154419,-117.350499,130006,3.942
3010108,33.153914,-117.350149,130007,3.982
3010108,33.153346,-117.349753,130008,4.027
3010108,33.152764,-117.349347,130009,4.074
3010108,33.152435,-117.349117,130010,4.100
3010108,33.152435,-117.349117,140001,4.100
3010108,33.151915,-117.348752,140002,4.142
3010108,33.151257,-117.348247,140003,4.196
3010108,33.151090,-117.348107,140004,4.210
3010108,33.150544,-117.347663,140005,4.255
3010108,33.150329,-117.347500,140006,4.273
3010108,33.149523,-117.346905,140007,4.338
3010108,33.148860,-117.346403,140008,4.393
3010108,33.148202,-117.345899,140009,4.446
3010108,33.147514,-117.345354,140010,4.503
3010108,33.147396,-117.345258,140011,4.513
3010108,33.147396,-117.345258,150001,4.513
3010108,33.146832,-117.344800,150002,4.560
3010108,33.146395,-117.344432,150003,4.597
3010108,33.145424,-117.343560,150004,4.681
3010108,33.144407,-117.342636,150005,4.769
3010108,33.143960,-117.342239,150006,4.808
3010108,33.143040,-117.341541,150007,4.883
3010108,33.142212,-117.341011,150008,4.948
3010108,33.141443,-117.340589,150009,5.006
3010108,33.141443,-117.340589,160001,5.006
3010108,33.138068,-117.338735,160002,5.262
3010108,33.136894,-117.338116,160003,5.351
3010108,33.136067,-117.337756,160004,5.412
3010108,33.135452,-117.337455,160005,5.457
3010108,33.134713,-117.337021,160006,5.514
3010108,33.133659,-117.336283,160007,5.599
3010108,33.133659,-117.336283,170001,5.599
3010108,33.133358,-117.336073,170002,5.623
3010108,33.132506,-117.335471,170003,5.691
3010108,33.132014,-117.335135,170004,5.730
3010108,33.130088,-117.333785,170005,5.884
3010108,33.128572,-117.332721,170006,6.005
3010108,33.128449,-117.332634,170007,6.015
3010108,33.128449,-117.332634,180001,6.015
3010108,33.126310,-117.331128,180002,6.187
3010108,33.125991,-117.330912,180003,6.212
3010108,33.125461,-117.330523,180004,6.255
3010108,33.125234,-117.330351,180005,6.273
3010108,33.122353,-117.327921,180006,6.517
3010108,33.122044,-117.327744,180007,6.540
3010108,33.121338,-117.327383,180008,6.593
3010108,33.120925,-117.327206,180009,6.624
3010108,33.120925,-117.327206,190001,6.624
3010108,33.120747,-117.327130,190002,6.637
3010108,33.117365,-117.325694,190003,6.884
3010108,33.115264,-117.324823,190004,7.038
3010108,33.114465,-117.324424,190005,7.097
3010108,33.113801,-117.324024,190006,7.149
3010108,33.113068,-117.323525,190007,7.207
3010108,33.112604,-117.323141,190008,7.246
3010108,33.111992,-117.322784,190009,7.293
3010108,33.111809,-117.322693,190010,7.306
3010108,33.111809,-117.322693,200001,7.306
3010108,33.111707,-117.322643,200002,7.314
3010108,33.111794,-117.322409,200003,7.329
3010108,33.110258,-117.321770,200004,7.441
3010108,33.105958,-117.320055,200005,7.754
3010108,33.105558,-117.319821,200006,7.784
3010108,33.104997,-117.319545,200007,7.826
3010108,33.104997,-117.319545,210001,7.826
3010108,33.104472,-117.319286,210002,7.865
3010108,33.101807,-117.318185,210003,8.060
3010108,33.101419,-117.318019,210004,8.088
3010108,33.101419,-117.318019,220001,8.088
3010108,33.099455,-117.317177,220002,8.232
3010108,33.098626,-117.316920,220003,8.291
3010108,33.098626,-117.316920,230001,8.291
3010108,33.098383,-117.316844,230002,8.308
3010108,33.097629,-117.316613,230003,8.362
3010108,33.096181,-117.315981,230004,8.468
3010108,33.093991,-117.314956,230005,8.631
3010108,33.092641,-117.314368,230006,8.730
3010108,33.092020,-117.314123,230007,8.775
3010108,33.092020,-117.314123,240001,8.775
3010108,33.091780,-117.314028,240002,8.792
3010108,33.091038,-117.313780,240003,8.845
3010108,33.085854,-117.311814,240004,9.220
3010108,33.085452,-117.311597,240005,9.251
3010108,33.085086,-117.311331,240006,9.280
3010108,33.084506,-117.310850,240007,9.329
3010108,33.084506,-117.310850,250001,9.329
3010108,33.084396,-117.310758,250002,9.338
3010108,33.084011,-117.310388,250003,9.372
3010108,33.083791,-117.310108,250004,9.395
3010108,33.083111,-117.309342,250005,9.459
3010108,33.082895,-117.309140,250006,9.478
3010108,33.082524,-117.308780,250007,9.511
3010108,33.082063,-117.308409,250008,9.550
3010108,33.081568,-117.308089,250009,9.588
3010108,33.081419,-117.308016,250010,9.599
3010108,33.081419,-117.308016,260001,9.599
3010108,33.081059,-117.307838,260002,9.626
3010108,33.080213,-117.307531,260003,9.687
3010108,33.078831,-117.307070,260004,9.786
3010108,33.078636,-117.307004,260005,9.800
3010108,33.078636,-117.307004,270001,9.800
3010108,33.077486,-117.306617,270002,9.883
3010108,33.076307,-117.306217,270003,9.967
3010108,33.075867,-117.306070,270004,9.999
3010108,33.075867,-117.306070,280001,9.999
3010108,33.075740,-117.306027,280002,10.008
3010108,33.075353,-117.305896,280003,10.035
3010108,33.074487,-117.305604,280004,10.097
3010108,33.073882,-117.305398,280005,10.141
3010108,33.073438,-117.305252,280006,10.173
3010108,33.072010,-117.304778,280007,10.275
3010108,33.070702,-117.304341,280008,10.368
3010108,33.069420,-117.303918,280009,10.460
3010108,33.069092,-117.303809,280010,10.483
3010108,33.069092,-117.303809,290001,10.483
3010108,33.068134,-117.303491,290002,10.552
3010108,33.066906,-117.303085,290003,10.640
3010108,33.065626,-117.302658,290004,10.731
3010108,33.064464,-117.302272,290005,10.815
3010108,33.064209,-117.302187,290006,10.833
3010108,33.063987,-117.302114,290007,10.849
3010108,33.063987,-117.302114,300001,10.849
3010108,33.063080,-117.301815,300002,10.914
3010108,33.062675,-117.301679,300003,10.943
3010108,33.061817,-117.301349,300004,11.005
3010108,33.061510,-117.301215,300005,11.027
3010108,33.060676,-117.300800,300006,11.090
3010108,33.060367,-117.300630,300007,11.113
3010108,33.059503,-117.300097,300008,11.180
3010108,33.058559,-117.299489,300009,11.254
3010108,33.058078,-117.299179,300010,11.292
3010108,33.056640,-117.298252,300011,11.405
3010108,33.056154,-117.297938,300012,11.443
3010108,33.056154,-117.297938,310001,11.443
3010108,33.054358,-117.296782,310002,11.584
3010108,33.051982,-117.295236,310003,11.770
3010108,33.051510,-117.294933,310004,11.807
3010108,33.051017,-117.294689,310005,11.844
3010108,33.050477,-117.294493,310006,11.883
3010108,33.050471,-117.294492,310007,11.883
3010108,33.050471,-117.294492,320001,11.883
3010108,33.049923,-117.294366,320002,11.922
3010108,33.048770,-117.294186,320003,12.002
3010108,33.048840,-117.293210,320004,12.059
3010108,33.048840,-117.293210,330001,12.059
3010108,33.048857,-117.292970,330002,12.073
3010108,33.046749,-117.292700,330003,12.219
3010108,33.046103,-117.292620,330004,12.264
3010108,33.045362,-117.292525,330005,12.315
3010108,33.045362,-117.292525,340001,12.315
3010108,33.044794,-117.292451,340002,12.354
3010108,33.044760,-117.292852,340003,12.378
3010108,33.044682,-117.293667,340004,12.425
3010108,33.043361,-117.293488,340005,12.517
3010108,33.042049,-117.293310,340006,12.608
3010108,33.040964,-117.293162,340007,12.683
3010108,33.040964,-117.293162,350001,12.683
3010108,33.040737,-117.293131,350002,12.699
3010108,33.039411,-117.292952,350003,12.791
3010108,33.038109,-117.292780,350004,12.881
3010108,33.037613,-117.292657,350005,12.916
3010108,33.037114,-117.292465,350006,12.952
3010108,33.036805,-117.292308,350007,12.975
3010108,33.036575,-117.292191,350008,12.993
3010108,33.036575,-117.292191,360001,12.993
3010108,33.035103,-117.291446,360002,13.103
3010108,33.034547,-117.291155,360003,13.145
3010108,33.032730,-117.290213,360004,13.281
3010108,33.028029,-117.287766,360005,13.635
3010108,33.024791,-117.285815,360006,13.885
3010108,33.024791,-117.285815,370001,13.885
3010108,33.023566,-117.285077,370002,13.980
3010108,33.021807,-117.283993,370003,14.117
3010108,33.019532,-117.282596,370004,14.293
3010108,33.019021,-117.282316,370005,14.332
3010108,33.018604,-117.282096,370006,14.363
3010108,33.018604,-117.282096,380001,14.363
3010108,33.018304,-117.281939,380002,14.386
3010108,33.016294,-117.281063,380003,14.534
3010108,33.015968,-117.280919,380004,14.558
3010108,33.014221,-117.280142,380005,14.686
