stop_id,stop_name,stop_lat,stop_lon,zone_id,stop_code,location_type,parent_station,wheelchair_boarding,intersection_code,stop_place,reference_place,stop_name_short
10374,Gilman Dr & Myers Dr,32.876949,-117.235533,,10374,0,,1,F-E/B,gilmye,,Gilman&Myers
10391,La Jolla Village Dr & Lebon Dr,32.870592,-117.223248,,10391,0,,1,F-E/B,,,LJ Vlge&Lebon
10400,La Jolla Village Dr & Regents Rd,32.871465,-117.217861,,10400,0,,1,F-E/B,lajreE,,LJ Vlge&Rgnts
10772,Gilman Dr & Myers Dr,32.877183,-117.235829,,10772,0,,1,N-W/B,gilmye,,Gilman&Myers
10793,La Jolla Village Dr & Regents Rd,32.871503,-117.218669,,10793,0,,1,N-W/B,lajreW,,LJ Vlge&Rgnts
11151,Nobel Dr & Lebon Dr,32.868525,-117.225289,,11151,0,,1,F-W/B,nobleb,,Nobel&Lebon
11538,N Torrey Pines Rd & Torrey Pines Scenic Dr,32.887475,-117.243837,,11538,0,,1,F-S/B,,,N Try Pines&Try Pines Scenic
11539,N Torrey Pines Rd & Torrey Pines Golf Course,32.906751,-117.243990,,11539,0,,1,F-S/B,,,N Try Pines & Try Pines Golf Course
11541,N Torrey Pines Rd & Science Park Rd,32.901424,-117.242815,,11541,0,,1,F-S/B,,,N Try Pines&Science Park
11548,Gilman Dr & Eucalyptus Grove Ln,32.875781,-117.239210,,11548,0,,1,F-S/B,schola,,Gilman&Eucalyptus Grove
11875,N Torrey Pines Rd & Almahurst Row,32.880465,-117.244028,,11875,0,,2,F-S/B,,,N Try Pines&Almahurst Row
11876,N Torrey Pines Rd & La Jolla Shores Dr,32.874901,-117.243796,,11876,0,,1,F-S/B,torlaj,,N Try Pines&LJ Shores
11877,N Torrey Pines Rd & Salk Institute Rd,32.885786,-117.243958,,11877,0,,1,F-S/B,,,N Try Pines&Salk Institute
11882,N Torrey Pines Rd & Scripps Clinic Drwy,32.894078,-117.241260,,11882,0,,2,F-S/B,scripp,,N Try Pines&Scripps Clinic
11885,N Torrey Pines Rd & Genesee Av,32.891359,-117.241405,,11885,0,,2,F-S/B,ntrgen,,N Try Pines&Gnsee
11923,La Jolla Village Dr & Genesee Av,32.872645,-117.214513,,11923,0,,1,F-W/B,ljgenW,,LJ Vlge&Gnsee
12310,N Torrey Pines Rd & La Jolla Shores Dr,32.874579,-117.243543,,12310,0,,1,N-N/B,torlaj,,N Try Pines&LJ Shores
12311,N Torrey Pines Rd & Torrey Pines Scenic Dr,32.886534,-117.243654,,12311,0,,0,N-N/B,,,N Try Pines&Try Pines Scenic
12316,N Torrey Pines Rd & UCSD Northpoint Drwy,32.889558,-117.242483,,12316,0,,0,F-N/B,,,N Try Pines & UCSD Northpoint
12320,Gilman Dr & Eucalyptus Grove Ln,32.875266,-117.238755,,12320,0,,1,N-N/B,schola,,Gilman&Eucalyptus Grove
12631,N Torrey Pines Rd & Muir College Dr,32.881350,-117.243690,,12631,0,,0,F-N/B,,,N Try Pines&Muir Coll
12634,N Torrey Pines Rd & Revelle College Dr,32.871606,-117.243423,,12634,0,,1,F-N/B,,,N Try Pines&Revelle Coll
12639,N Torrey Pines Rd & Scripps Clinic Drwy,32.895275,-117.241110,,12639,0,,0,F-N/B,scripp,,N Try Pines&Scripps Clinic
13024,Nobel Dr & La Jolla Village Square Drwy,32.867766,-117.231688,,13024,0,,1,N-E/B,noblaj,,Nobel&LJ Vlge Square
13058,Nobel Dr & La Jolla Village Square Drwy,32.868011,-117.231658,,13058,0,,1,F-W/B,noblaj,,Nobel&LJ Vlge Square
13141,N Torrey Pines Rd & John J Hopkins Dr,32.898471,-117.241820,,13141,0,,0,N-N/B,scripN,,N Try Pines & John J Hopkins
13171,Genesee Av & La Jolla Village Dr,32.872043,-117.214206,,13171,0,,1,F-S/B,genljS,,Gnsee&LJ Vlge
20001,Broadway & Leslie Ln,33.148963,-117.090834,,20001,0,,1,F-N/B,,,Brdwy&Leslie
20004,Brown St & Del Valle (Las Pulgas),33.350836,-117.411236,,20004,0,,2,N-E/B,,,Brown&Del Valle (Las Pulgas)
20006,Access Rd & Px,33.223164,-117.395502,,20006,0,,0,N-E/B,cpdelN,,Access&Px
20007,Vandegrift Bl & Ash Rd,33.231846,-117.389372,,20007,0,,0,N-N/B,,,Vandegrift&Ash
20018,Division St & Grant St,33.196127,-117.370258,,20018,0,,1,N-E/B,,,Division&Grant
20020,Division St & Country Club Ln,33.197026,-117.365342,,20020,0,,1,N-E/B,osdsnN,,Division&Country Club
20024,Vandegrift Bl & Area 26,33.317869,-117.327032,,20024,0,,2,N-E/B,,,Vandegrift&Area 26
20025,Oceanside Bl & Industry St,33.197836,-117.350109,,20025,0,,2,N-E/B,,,Oceanside&Industry
20026,Bldg 22114 & 10th St,33.294300,-117.350633,,20026,0,,0,N-E/B,,,Bldg 22114&10th
20027,Grand Av & Madison St,33.161625,-117.347768,,20027,0,,2,N-E/B,,,Grand&Madison
20030,Grand Av & Harding St,33.162834,-117.345663,,20030,0,,1,N-E/B,,,Grand&Harding
20032,Oceanside Bl & Camelot Dr,33.200654,-117.344325,,20032,0,,1,N-E/B,,,Oceanside&Camelot
20038,Oceanside Blvd & Garrison St,33.201671,-117.336612,,20038,0,,2,F-E/B,,,Oceanside& Garrison
20039,Mission Av & 3745 (Fireside St),33.223052,-117.334291,,20039,0,,1,F-E/B,,,Mission&3745 (Fireside)
20041,Mesa Dr & Garrison St,33.208641,-117.334341,,20041,0,,1,N-E/B,mesecE,,Mesa&Garrison
20045,Mission Av & El Camino Real,33.225368,-117.331348,,20045,0,,1,N-E/B,misecE,,Mission&El Cmo Real
20047,Magnolia Av & Brady Cr (Jr High),33.158370,-117.330382,,20047,0,,0,F-E/B,,,Magnolia&Brady Cr (Jr High)
20049,Sequoia & Angeles,33.347152,-117.322101,,20049,0,,2,N-E/B,,,Sequoia&Angeles
20051,Carlsbad Village Dr & Santa Clara Way,33.170542,-117.316929,,20051,0,,1,N-E/B,cvsanE,,Clsbd Vlge&Santa Clara Way
20054,Carlsbad Village Dr & Victoria Av,33.166484,-117.305737,,20054,0,,2,F-E/B,,,Clsbd Vlge&Victoria
20059,N River Rd & Redondo Dr,33.249539,-117.300802,,20059,0,,1,F-N/B,vanred,,N River&Redondo
20061,Barnard Dr & Meadow Ln,33.186713,-117.297372,,20061,0,,1,N-E/B,,,Barnard&Meadow
20063,Encinitas Bl & I-5,33.048490,-117.289603,,20063,0,,1,N-E/B,,,Encinitas&I-5
20066,Santa Fe Dr & Summit Av,33.036132,-117.288374,,20066,0,,1,N-E/B,,,Santa Fe&Summit
20067,Lake Bl & Thunder Dr,33.180104,-117.289004,,20067,0,,2,N-E/B,,,Lake&Thunder
